Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P09671|SODM_MOUSE	P09671	SODM_MOUSE	Sod2	222	Mus musculus OX=10090	Superoxide dismutase [Mn], mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	7	2	7	86	19	86	     0	     0	     0	14K(28.0313), 15K(28.0313), 19K(28.0313), 7K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|P09803|CADH1_MOUSE	P09803	CADH1_MOUSE	Cdh1	884	Mus musculus OX=10090	Cadherin-1 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	13	0	13	     0	     0	     0	12K(28.0313), 13K(28.0313), N-term(28.0313)		tr|A0A0R4IZW5|A0A0R4IZW5_MOUSE
sp|P09813|APOA2_MOUSE	P09813	APOA2_MOUSE	Apoa2	102	Mus musculus OX=10090	Apolipoprotein A-II 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	15	15	15	     0	     0	     0	18M(15.9949), 23K(28.0313), 7M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|P0DN34|NDUB1_MOUSE	P0DN34	NDUB1_MOUSE	Ndufb1	57	Mus musculus OX=10090	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	17	17	17	     0	     0	     0	11K(28.0313), N-term(28.0313)		
sp|P0DOV1|IFI5B_MOUSE	P0DOV1	IFI5B_MOUSE	Mnda	425	Mus musculus OX=10090	Interferon-activable protein 205-B 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	18	11	18	     0	     0	     0	11K(28.0313), 13K(28.0313), 36K(28.0313), N-term(28.0313)		
sp|P0DP26|CALM1_MOUSE	P0DP26	CALM1_MOUSE	Calm1	149	Mus musculus OX=10090	Calmodulin-1 	1:Experimental evidence at protein level	1.0000	0.9990	10	0	10	129	0	129	     0	     0	     0	15M(15.9949), 18M(15.9949), 19M(15.9949), 22K(28.0313), 3M(15.9949), 6K(28.0313), 6M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		sp|P0DP27|CALM2_MOUSE, sp|P0DP28|CALM3_MOUSE
sp|P10107|ANXA1_MOUSE	P10107	ANXA1_MOUSE	Anxa1	346	Mus musculus OX=10090	Annexin A1 	1:Experimental evidence at protein level	1.0000	0.9990	5	1	5	17	3	17	     0	     0	     0	13K(28.0313), 14K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P10126|EF1A1_MOUSE	P10126	EF1A1_MOUSE	Eef1a1	462	Mus musculus OX=10090	Elongation factor 1-alpha 1 	1:Experimental evidence at protein level	1.0000	0.9990	21	4	21	568	136	568	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 13K(28.0313), 15K(28.0313), 17K(28.0313), 1K(28.0313), 1M(15.9949), 21M(15.9949), 25K(28.0313), 28M(15.9949), 32K(28.0313), 4K(28.0313), 5M(15.9949), 7K(28.0313), 8K(28.0313), 9K(28.0313), 9M(15.9949), N-term(28.0313)		
sp|P10518|HEM2_MOUSE	P10518	HEM2_MOUSE	Alad	330	Mus musculus OX=10090	Delta-aminolevulinic acid dehydratase 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	102	102	102	     0	     0	     0	10K(28.0313), 10M(15.9949), 12K(28.0313), 16K(28.0313), 8M(15.9949), N-term(28.0313)		
sp|P10605|CATB_MOUSE	P10605	CATB_MOUSE	Ctsb	339	Mus musculus OX=10090	Cathepsin B 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	54	54	54	     0	     0	     0	11K(28.0313), 18K(28.0313), 3M(15.9949), 6M(15.9949), 7M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|P10630|IF4A2_MOUSE	P10630	IF4A2_MOUSE	Eif4a2	407	Mus musculus OX=10090	Eukaryotic initiation factor 4A-II 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	35	0	35	     0	     0	     0	11M(15.9949), 12K(28.0313), 14K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P10639|THIO_MOUSE	P10639	THIO_MOUSE	Txn	105	Mus musculus OX=10090	Thioredoxin 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	60	42	60	     0	     0	     0	13K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P10648|GSTA2_MOUSE	P10648	GSTA2_MOUSE	Gsta2	222	Mus musculus OX=10090	Glutathione S-transferase A2 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	61	0	61	     0	     0	     0	10K(28.0313), 11M(15.9949), 17M(15.9949), 18K(28.0313), 5M(15.9949), 7K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P10649|GSTM1_MOUSE	P10649	GSTM1_MOUSE	Gstm1	218	Mus musculus OX=10090	Glutathione S-transferase Mu 1 	1:Experimental evidence at protein level	1.0000	0.9990	18	1	18	804	4	804	     0	     0	     0	13K(28.0313), 14K(28.0313), 17K(28.0313), 17M(15.9949), 1M(15.9949), 21K(28.0313), 2K(28.0313), 3M(15.9949), 5M(15.9949), 7K(28.0313), 8K(28.0313), 9K(28.0313), 9M(15.9949), N-term(28.0313)		
sp|P10711|TCEA1_MOUSE	P10711	TCEA1_MOUSE	Tcea1	301	Mus musculus OX=10090	Transcription elongation factor A protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	9	0	9	     0	     0	     0	12K(28.0313), 6M(15.9949), 9K(28.0313), N-term(28.0313)		tr|E9PYD5|E9PYD5_MOUSE
sp|P10852|4F2_MOUSE	P10852	4F2_MOUSE	Slc3a2	526	Mus musculus OX=10090	4F2 cell-surface antigen heavy chain 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	11	0	11	     0	     0	     0	13K(28.0313), 17K(28.0313), N-term(28.0313)		
sp|P10854|H2B1M_MOUSE	P10854	H2B1M_MOUSE	H2bc14	126	Mus musculus OX=10090	Histone H2B type 1-M 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	166	0	166	     0	     0	     0	11K(28.0313), 2M(15.9949), 5M(15.9949), 9K(28.0313), N-term(28.0313)		sp|Q64478|H2B1H_MOUSE, sp|Q64525|H2B2B_MOUSE, sp|Q6ZWY9|H2B1C_MOUSE
sp|P10922|H10_MOUSE	P10922	H10_MOUSE	H1-0	194	Mus musculus OX=10090	Histone H1.0 	2:Experimental evidence at transcript level	1.0000	0.9990	5	5	5	45	45	45	     0	     0	     0	10K(28.0313), 11K(28.0313), 13K(28.0313), 4M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|P11031|TCP4_MOUSE	P11031	TCP4_MOUSE	Sub1	127	Mus musculus OX=10090	Activated RNA polymerase II transcriptional coactivator p15 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	21	21	21	     0	     0	     0	10M(15.9949), 11K(28.0313), 13K(28.0313), 4M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|P11087|CO1A1_MOUSE	P11087	CO1A1_MOUSE	Col1a1	1453	Mus musculus OX=10090	Collagen alpha-1(I) chain 	1:Experimental evidence at protein level	1.0000	0.9990	8	7	8	60	56	60	     0	     0	     0	10M(15.9949), 12K(28.0313), 14K(28.0313), 24K(28.0313), 6M(15.9949), N-term(28.0313)		
sp|P11352|GPX1_MOUSE	P11352	GPX1_MOUSE	Gpx1	201	Mus musculus OX=10090	Glutathione peroxidase 1 	1:Experimental evidence at protein level	1.0000	0.9990	11	2	11	289	37	289	     0	     0	     0	10K(28.0313), 14M(15.9949), 17K(28.0313), 18K(28.0313), 19K(28.0313), 5M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|P11438|LAMP1_MOUSE	P11438	LAMP1_MOUSE	Lamp1	406	Mus musculus OX=10090	Lysosome-associated membrane glycoprotein 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	20	20	20	     0	     0	     0	11K(28.0313), 12K(28.0313), 5M(15.9949), N-term(28.0313)		
sp|P11499|HS90B_MOUSE	P11499	HS90B_MOUSE	Hsp90ab1	724	Mus musculus OX=10090	Heat shock protein HSP 90-beta 	1:Experimental evidence at protein level	1.0000	0.9990	29	5	29	621	90	621	     0	     0	     0	10K(28.0313), 10M(15.9949), 11K(28.0313), 12K(28.0313), 13K(28.0313), 14K(28.0313), 15K(28.0313), 2M(15.9949), 5K(28.0313), 7K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P11531|DMD_MOUSE	P11531	DMD_MOUSE	Dmd	3678	Mus musculus OX=10090	Dystrophin 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	8	0	8	     0	     0	     0	11K(28.0313), N-term(28.0313)		tr|A0A668KLA2|A0A668KLA2_MOUSE, tr|A2A9Z1|A2A9Z1_MOUSE, tr|A2A9Z2|A2A9Z2_MOUSE
sp|P11609|CD1D1_MOUSE	P11609	CD1D1_MOUSE	Cd1d1	336	Mus musculus OX=10090	Antigen-presenting glycoprotein CD1d1 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	11	0	11	     0	     0	     0	4M(15.9949), N-term(28.0313)		tr|A0A0R4J090|A0A0R4J090_MOUSE
sp|P11679|K2C8_MOUSE	P11679	K2C8_MOUSE	Krt8	490	Mus musculus OX=10090	Keratin, type II cytoskeletal 8 	1:Experimental evidence at protein level	1.0000	0.9990	32	25	32	526	434	526	     0	     0	     0	10K(28.0313), 11K(28.0313), 13K(28.0313), 15M(15.9949), 16K(28.0313), 20K(28.0313), 34K(28.0313), 3M(15.9949), 4M(15.9949), 5M(15.9949), 6M(15.9949), 7K(28.0313), 7M(15.9949), 8K(28.0313), 8M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|P11688|ITA5_MOUSE	P11688	ITA5_MOUSE	Itga5	1053	Mus musculus OX=10090	Integrin alpha-5 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	9	9	9	     0	     0	     0	11K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|P11714|CP2D9_MOUSE	P11714	CP2D9_MOUSE	Cyp2d9	504	Mus musculus OX=10090	Cytochrome P450 2D9 	1:Experimental evidence at protein level	1.0000	0.9990	10	0	10	82	0	82	     0	     0	     0	10M(15.9949), 11M(15.9949), 13K(28.0313), 15K(28.0313), 4M(15.9949), 7K(28.0313), N-term(28.0313)		
sp|P11725|OTC_MOUSE	P11725	OTC_MOUSE	Otc	354	Mus musculus OX=10090	Ornithine transcarbamylase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	17	0	17	339	0	339	     0	     0	     0	10K(28.0313), 11K(28.0313), 11M(15.9949), 12K(28.0313), 13M(15.9949), 18K(28.0313), 19K(28.0313), 1K(28.0313), 34K(28.0313), 3M(15.9949), 4M(15.9949), 5M(15.9949), 7K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		tr|Q8R1A8|Q8R1A8_MOUSE
sp|P11835|ITB2_MOUSE	P11835	ITB2_MOUSE	Itgb2	771	Mus musculus OX=10090	Integrin beta-2 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	8	0	8	     0	     0	     0	14K(28.0313), 18K(28.0313), N-term(28.0313)		tr|M0QWA7|M0QWA7_MOUSE, tr|Q542I8|Q542I8_MOUSE
sp|P11859|ANGT_MOUSE	P11859	ANGT_MOUSE	Agt	477	Mus musculus OX=10090	Angiotensinogen 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	15	0	15	     0	     0	     0	13K(28.0313), N-term(28.0313)		tr|A0A5F8MPW1|A0A5F8MPW1_MOUSE, tr|Q3UTR7|Q3UTR7_MOUSE
sp|P11862|GAS2_MOUSE	P11862	GAS2_MOUSE	Gas2	314	Mus musculus OX=10090	Growth arrest-specific protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	14	14	14	     0	     0	     0	11K(28.0313), 20K(28.0313), N-term(28.0313)		
sp|P11930|NUD19_MOUSE	P11930	NUD19_MOUSE	Nudt19	357	Mus musculus OX=10090	Acyl-coenzyme A diphosphatase NUDT19 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	21	21	21	     0	     0	     0	12M(15.9949), 7K(28.0313), N-term(28.0313)		
sp|P11983|TCPA_MOUSE	P11983	TCPA_MOUSE	Tcp1	556	Mus musculus OX=10090	T-complex protein 1 subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	15	11	15	94	65	94	     0	     0	     0	10K(28.0313), 11K(28.0313), 15K(28.0313), 18K(28.0313), 1M(15.9949), 20K(28.0313), 21K(28.0313), N-term(28.0313)		
sp|P12265|BGLR_MOUSE	P12265	BGLR_MOUSE	Gusb	648	Mus musculus OX=10090	Beta-glucuronidase 	1:Experimental evidence at protein level	1.0000	0.9990	9	5	9	44	26	44	     0	     0	     0	13K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P12367|KAP2_MOUSE	P12367	KAP2_MOUSE	Prkar2a	401	Mus musculus OX=10090	cAMP-dependent protein kinase type II-alpha regulatory subunit 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	52	0	52	     0	     0	     0	11K(28.0313), 13K(28.0313), 14M(15.9949), 17K(28.0313), 9K(28.0313), N-term(28.0313)		tr|A0A0A6YX73|A0A0A6YX73_MOUSE, tr|Q8K1M3|Q8K1M3_MOUSE
sp|P12382|PFKAL_MOUSE	P12382	PFKAL_MOUSE	Pfkl	780	Mus musculus OX=10090	ATP-dependent 6-phosphofructokinase, liver type 	1:Experimental evidence at protein level	1.0000	0.9990	10	7	10	51	34	51	     0	     0	     0	11K(28.0313), 12K(28.0313), 21K(28.0313), 2M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|P12710|FABPL_MOUSE	P12710	FABPL_MOUSE	Fabp1	127	Mus musculus OX=10090	Fatty acid-binding protein, liver 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	1046	1046	1046	     0	     0	     0	10K(28.0313), 11K(28.0313), 13K(28.0313), 13M(15.9949), 14K(28.0313), 14M(15.9949), 18K(28.0313), 22K(28.0313), 3K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|P12787|COX5A_MOUSE	P12787	COX5A_MOUSE	Cox5a	146	Mus musculus OX=10090	Cytochrome c oxidase subunit 5A, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	94	94	94	     0	     0	     0	15K(28.0313), 2M(15.9949), N-term(28.0313)		
sp|P12790|CP2B9_MOUSE	P12790	CP2B9_MOUSE	Cyp2b9	491	Mus musculus OX=10090	Cytochrome P450 2B9 	1:Experimental evidence at protein level	1.0000	0.9990	10	5	10	65	34	65	     0	     0	     0	12K(28.0313), 14K(28.0313), 23K(28.0313), N-term(28.0313)		
sp|P12815|PDCD6_MOUSE	P12815	PDCD6_MOUSE	Pdcd6	191	Mus musculus OX=10090	Programmed cell death protein 6 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	32	32	32	     0	     0	     0	13K(28.0313), 5M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|P12970|RL7A_MOUSE	P12970	RL7A_MOUSE	Rpl7a	266	Mus musculus OX=10090	60S ribosomal protein L7a 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	58	58	58	     0	     0	     0	10K(28.0313), 11K(28.0313), 13K(28.0313), 15K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|P13020|GELS_MOUSE	P13020	GELS_MOUSE	Gsn	780	Mus musculus OX=10090	Gelsolin 	1:Experimental evidence at protein level	1.0000	0.9990	10	2	10	43	14	43	     0	     0	     0	13K(28.0313), 15K(28.0313), 17K(28.0313), 18K(28.0313), 22K(28.0313), 28K(28.0313), N-term(28.0313)		
sp|P13412|TNNI2_MOUSE	P13412	TNNI2_MOUSE	Tnni2	182	Mus musculus OX=10090	Troponin I, fast skeletal muscle 	2:Experimental evidence at transcript level	1.0000	0.9990	3	0	3	9	0	9	     0	     0	     0	13K(28.0313), 8K(28.0313), N-term(28.0313)		tr|A2A6J8|A2A6J8_MOUSE, tr|A2A6K0|A2A6K0_MOUSE
sp|P13439|UMPS_MOUSE	P13439	UMPS_MOUSE	Umps	481	Mus musculus OX=10090	Uridine 5'-monophosphate synthase 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	4	13	10	13	     0	     0	     0	14K(28.0313), 20K(28.0313), N-term(28.0313)		
sp|P13516|ACOD1_MOUSE	P13516	ACOD1_MOUSE	Scd1	355	Mus musculus OX=10090	Acyl-CoA desaturase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	67	52	67	     0	     0	     0	14M(15.9949), 15K(28.0313), 17K(28.0313), N-term(28.0313)		
sp|P13542|MYH8_MOUSE	P13542	MYH8_MOUSE	Myh8	1937	Mus musculus OX=10090	Myosin-8 	2:Experimental evidence at transcript level	1.0000	0.9990	8	2	8	18	5	18	     0	     0	     0	10K(28.0313), 11K(28.0313), 15K(28.0313), 1M(15.9949), N-term(28.0313)		
sp|P13597|ICAM1_MOUSE	P13597	ICAM1_MOUSE	Icam1	537	Mus musculus OX=10090	Intercellular adhesion molecule 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	11	11	11	     0	     0	     0	10K(28.0313), 12K(28.0313), 14K(28.0313), N-term(28.0313)		
sp|P13634|CAH1_MOUSE	P13634	CAH1_MOUSE	Ca1	261	Mus musculus OX=10090	Carbonic anhydrase 1 	1:Experimental evidence at protein level	1.0000	0.9990	7	4	7	37	21	37	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 14K(28.0313), 25K(28.0313), N-term(28.0313)		
sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	Homo sapiens	Keratin, type I cytoskeletal 10 	1:Experimental evidence at protein level	1.0000	0.9990	14	8	14	48	33	48	     0	     0	     0	12K(28.0313), 17K(28.0313), 18K(28.0313), 5M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|P13707|GPDA_MOUSE	P13707	GPDA_MOUSE	Gpd1	349	Mus musculus OX=10090	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	14	1	14	124	1	124	     0	     0	     0	10K(28.0313), 13K(28.0313), 32K(28.0313), 3M(15.9949), 7K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P14094|AT1B1_MOUSE	P14094	AT1B1_MOUSE	Atp1b1	304	Mus musculus OX=10090	Sodium/potassium-transporting ATPase subunit beta-1 	1:Experimental evidence at protein level	1.0000	0.9990	4	2	4	25	14	25	     0	     0	     0	11K(28.0313), 14K(28.0313), 7K(28.0313), N-term(28.0313)		
sp|P14106|C1QB_MOUSE	P14106	C1QB_MOUSE	C1qb	253	Mus musculus OX=10090	Complement C1q subcomponent subunit B 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	5	5	5	     0	     0	     0	14K(28.0313), N-term(28.0313)		
sp|P14115|RL27A_MOUSE	P14115	RL27A_MOUSE	Rpl27a	148	Mus musculus OX=10090	60S ribosomal protein L27a 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	30	30	30	     0	     0	     0	8K(28.0313), N-term(28.0313)		
sp|P14131|RS16_MOUSE	P14131	RS16_MOUSE	Rps16	146	Mus musculus OX=10090	40S ribosomal protein S16 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	50	50	50	     0	     0	     0	10K(28.0313), 7K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|P14148|RL7_MOUSE	P14148	RL7_MOUSE	Rpl7	270	Mus musculus OX=10090	60S ribosomal protein L7 	1:Experimental evidence at protein level	1.0000	0.9990	10	2	10	89	27	89	     0	     0	     0	10K(28.0313), 11K(28.0313), 1K(28.0313), 7K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P14152|MDHC_MOUSE	P14152	MDHC_MOUSE	Mdh1	334	Mus musculus OX=10090	Malate dehydrogenase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	13	0	13	271	0	271	     0	     0	     0	11M(15.9949), 14K(28.0313), 17K(28.0313), 20K(28.0313), 5M(15.9949), 7K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		tr|A0A5F8MPN8|A0A5F8MPN8_MOUSE
sp|P14206|RSSA_MOUSE	P14206	RSSA_MOUSE	Rpsa	295	Mus musculus OX=10090	40S ribosomal protein SA 	1:Experimental evidence at protein level	1.0000	0.9990	7	2	7	100	30	100	     0	     0	     0	10K(28.0313), 17M(15.9949), 23K(28.0313), 7K(28.0313), 7M(15.9949), N-term(28.0313)		
sp|P14211|CALR_MOUSE	P14211	CALR_MOUSE	Calr	416	Mus musculus OX=10090	Calreticulin 	1:Experimental evidence at protein level	1.0000	0.9990	28	28	28	483	483	483	     0	     0	     0	10K(28.0313), 11K(28.0313), 11M(15.9949), 12K(28.0313), 13K(28.0313), 14K(28.0313), 16K(28.0313), 1K(28.0313), 21K(28.0313), 22K(28.0313), 24K(28.0313), 28K(28.0313), 29K(28.0313), 2K(28.0313), 2M(15.9949), 6K(28.0313), 7K(28.0313), 8K(28.0313), 9K(28.0313), 9M(15.9949), N-term(28.0313)		
sp|P14246|GTR2_MOUSE	P14246	GTR2_MOUSE	Slc2a2	523	Mus musculus OX=10090	Solute carrier family 2, facilitated glucose transporter member 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	13	7	13	     0	     0	     0	N-term(28.0313)		
sp|P14483|HB2A_MOUSE	P14483	HB2A_MOUSE	H2-Ab1	265	Mus musculus OX=10090	H-2 class II histocompatibility antigen, A beta chain 	1:Experimental evidence at protein level	1.0000	0.9972	2	0	2	4	0	4	     0	     0	     0	N-term(28.0313)		tr|A0A494B9G5|A0A494B9G5_MOUSE
sp|P14576|SRP54_MOUSE	P14576	SRP54_MOUSE	Srp54	504	Mus musculus OX=10090	Signal recognition particle 54 kDa protein 	1:Experimental evidence at protein level	1.0000	0.9990	7	1	7	23	1	23	     0	     0	     0	10K(28.0313), 10M(15.9949), 11K(28.0313), 13K(28.0313), 14K(28.0313), 18K(28.0313), 19K(28.0313), 4M(15.9949), N-term(28.0313)		
sp|P14602|HSPB1_MOUSE	P14602	HSPB1_MOUSE	Hspb1	209	Mus musculus OX=10090	Heat shock protein beta-1 	1:Experimental evidence at protein level	1.0000	0.9990	6	3	6	22	10	22	     0	     0	     0	10K(28.0313), 16K(28.0313), 30K(28.0313), N-term(28.0313)		
sp|P14685|PSMD3_MOUSE	P14685	PSMD3_MOUSE	Psmd3	530	Mus musculus OX=10090	26S proteasome non-ATPase regulatory subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	15	9	15	101	74	101	     0	     0	     0	11K(28.0313), 12K(28.0313), 13K(28.0313), 15K(28.0313), 16K(28.0313), 21M(15.9949), 22K(28.0313), 2K(28.0313), 2M(15.9949), 6M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P14733|LMNB1_MOUSE	P14733	LMNB1_MOUSE	Lmnb1	588	Mus musculus OX=10090	Lamin-B1 	1:Experimental evidence at protein level	1.0000	0.9990	15	14	15	80	78	80	     0	     0	     0	10K(28.0313), 12K(28.0313), 13K(28.0313), 17K(28.0313), 2M(15.9949), 3M(15.9949), 5M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|P14847|CRP_MOUSE	P14847	CRP_MOUSE	Crp	225	Mus musculus OX=10090	C-reactive protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	13	13	13	     0	     0	     0	14K(28.0313), 26K(28.0313), N-term(28.0313)		
sp|P14869|RLA0_MOUSE	P14869	RLA0_MOUSE	Rplp0	317	Mus musculus OX=10090	60S acidic ribosomal protein P0 	1:Experimental evidence at protein level	1.0000	0.9990	8	2	8	81	18	81	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 13K(28.0313), 17K(28.0313), 31K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P15105|GLNA_MOUSE	P15105	GLNA_MOUSE	Glul	373	Mus musculus OX=10090	Glutamine synthetase 	1:Experimental evidence at protein level	1.0000	0.9990	9	4	9	122	90	122	     0	     0	     0	11K(28.0313), 15K(28.0313), 1K(28.0313), 1M(15.9949), 4M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|P15116|CADH2_MOUSE	P15116	CADH2_MOUSE	Cdh2	906	Mus musculus OX=10090	Cadherin-2 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	28	0	28	     0	     0	     0	18K(28.0313), 21K(28.0313), 9K(28.0313), N-term(28.0313)		tr|D3YYT0|D3YYT0_MOUSE
sp|P15208|INSR_MOUSE	P15208	INSR_MOUSE	Insr	1372	Mus musculus OX=10090	Insulin receptor 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	5	1	5	     0	     0	     0	19K(28.0313), N-term(28.0313)		
sp|P15327|PMGE_MOUSE	P15327	PMGE_MOUSE	Bpgm	259	Mus musculus OX=10090	Bisphosphoglycerate mutase 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	17	0	17	     0	     0	     0	8K(28.0313), N-term(28.0313)		
sp|P15392|CP2A4_MOUSE	P15392	CP2A4_MOUSE	Cyp2a4	494	Mus musculus OX=10090	Cytochrome P450 2A4 	2:Experimental evidence at transcript level	1.0000	0.9990	14	2	14	103	11	103	     0	     0	     0	11K(28.0313), 13K(28.0313), 1M(15.9949), 6K(28.0313), 7M(15.9949), 8M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|P15508|SPTB1_MOUSE	P15508	SPTB1_MOUSE	Sptb	2128	Mus musculus OX=10090	Spectrin beta chain, erythrocytic 	1:Experimental evidence at protein level	1.0000	0.9990	11	0	11	23	0	23	     0	     0	     0	10K(28.0313), 11K(28.0313), 18K(28.0313), N-term(28.0313)		tr|E9Q397|E9Q397_MOUSE, tr|Q3UGX2|Q3UGX2_MOUSE
sp|P15532|NDKA_MOUSE	P15532	NDKA_MOUSE	Nme1	152	Mus musculus OX=10090	Nucleoside diphosphate kinase A 	1:Experimental evidence at protein level	1.0000	0.9990	5	1	5	57	7	57	     0	     0	     0	10K(28.0313), 12K(28.0313), 15K(28.0313), 2M(15.9949), 6K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|P15626|GSTM2_MOUSE	P15626	GSTM2_MOUSE	Gstm2	218	Mus musculus OX=10090	Glutathione S-transferase Mu 2 	1:Experimental evidence at protein level	1.0000	0.9990	10	1	10	74	11	74	     0	     0	     0	11K(28.0313), 13K(28.0313), 1K(28.0313), 3M(15.9949), 7K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|P15864|H12_MOUSE	P15864	H12_MOUSE	H1-2	212	Mus musculus OX=10090	Histone H1.2 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	27	8	27	     0	     0	     0	12K(28.0313), 16K(28.0313), 7K(28.0313), N-term(28.0313)		
sp|P16015|CAH3_MOUSE	P16015	CAH3_MOUSE	Ca3	260	Mus musculus OX=10090	Carbonic anhydrase 3 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	1127	1127	1127	     0	     0	     0	10M(15.9949), 12K(28.0313), 13K(28.0313), 18K(28.0313), 21K(28.0313), 22K(28.0313), 25K(28.0313), 3M(15.9949), 7K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P16045|LEG1_MOUSE	P16045	LEG1_MOUSE	Lgals1	135	Mus musculus OX=10090	Galectin-1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	26	26	26	     0	     0	     0	16K(28.0313), 3M(15.9949), 8K(28.0313), 9M(15.9949), N-term(28.0313)		
